date,NINO,ENERGY_PRICE
2009-07-01,0.69,125.51687345161292
2009-08-01,0.62,127.68792277419352
2009-09-01,0.68,182.5095005
2009-10-01,0.96,189.93442636559135
2009-11-01,1.49,152.52863128888887
2009-12-01,1.81,195.0491639892473
2010-01-01,1.43,152.2578755806451
2010-02-01,1.18,195.59115854761905
2010-03-01,1.07,189.981887
2010-04-01,0.56,195.5365247
2010-05-01,-0.15,150.3243332580645
2010-06-01,-0.62,91.33092138888888
2010-07-01,-0.89,82.94435402150538
2010-08-01,-1.33,84.85816305376345
2010-09-01,-1.56,112.30941277777778
2010-10-01,-1.65,136.52222272043014
2010-11-01,-1.57,92.01793782222222
2010-12-01,-1.63,66.69853210752687
2011-01-01,-1.7,89.4705183655914
2011-02-01,-1.26,105.68437985714286
2011-03-01,-0.98,79.7267019032258
2011-04-01,-0.74,73.41635112222222
2011-05-01,-0.53,58.49071407526881
2011-06-01,-0.25,60.06163481111111
2011-07-01,-0.23,55.51386178494624
2011-08-01,-0.66,88.97861669892472
2011-09-01,-0.76,92.50953437777778
2011-10-01,-0.93,72.86567944086022
2011-11-01,-1.09,70.53858275555555
2011-12-01,-1.05,55.75605648387096
2012-01-01,-0.93,53.61037947311828
2012-02-01,-0.61,78.49598144827586
2012-03-01,-0.48,119.10521388172045
2012-04-01,-0.29,56.99427418888888
2012-05-01,-0.18,46.85869274193549
2012-06-01,0.14,87.35270906666666
2012-07-01,0.44,79.17754592473118
2012-08-01,0.66,140.26220102150538
2012-09-01,0.44,183.3778401333333
2012-10-01,0.23,198.00380627956991
2012-11-01,0.33,166.9982269888889
2012-12-01,-0.13,180.3391705376344
2013-01-01,-0.42,184.45569695698924
2013-02-01,-0.4,181.17711414285716
2013-03-01,-0.14,137.53884632258064
2013-04-01,-0.08,229.82422287777777
2013-05-01,-0.28,139.81515178494627
2013-06-01,-0.33,143.10235772222222
2013-07-01,-0.28,232.1402435376344
2013-08-01,-0.29,150.55001888172043
2013-09-01,-0.09,144.20590491111113
2013-10-01,-0.24,211.9383313333333
2013-11-01,-0.02,210.38550514444444
2013-12-01,-0.09,164.0329949139785
2014-01-01,-0.42,160.47509748387097
2014-02-01,-0.45,187.96510933333332
2014-03-01,-0.07,151.3030924301075
2014-04-01,0.28,373.7469429222223
2014-05-01,0.45,381.9789959677419
2014-06-01,0.48,334.87149411111113
2014-07-01,0.13,184.669632655914
2014-08-01,0.14,200.1672784301075
2014-09-01,0.37,177.31851948888888
2014-10-01,0.48,207.02634377419355
2014-11-01,0.89,166.56813924444447
2014-12-01,0.77,175.05465266666667
2015-01-01,0.59,187.59591108602152
2015-02-01,0.57,166.2312292738095
2015-03-01,0.48,205.50295066666664
2015-04-01,0.9,161.30443577777777
2015-05-01,1.04,259.1989313548387
2015-06-01,1.28,186.4165488
2015-07-01,1.56,206.15807048387097
2015-08-01,1.87,183.70840486021504
2015-09-01,2.01,458.8346858444445
2015-10-01,2.21,1106.619159612903
2015-11-01,2.57,766.9919818444445
2015-12-01,2.56,630.1935495913978
2016-01-01,2.56,554.1589823010753
2016-02-01,2.11,645.9999111494253
2016-03-01,1.6,830.0181967526883
2016-04-01,1.05,332.4932637111111
2016-05-01,0.45,140.31038082795698
2016-06-01,0.06,167.97191656666664
2016-07-01,-0.25,129.2143740967742
2016-08-01,-0.48,198.0151265483871
