date,Nacional
2007-09-01,1634.8998666666666
2007-10-01,2286.0155161290327
2007-11-01,2187.953733333333
2007-12-01,1858.0136129032255
2008-01-01,1245.6737096774193
2008-02-01,1391.2710689655173
2008-03-01,1404.5013225806451
2008-04-01,1564.9079
2008-05-01,2355.672225806452
2008-06-01,2484.3070666666667
2008-07-01,2648.9030967741937
2008-08-01,1896.3888387096777
2008-09-01,1754.9332333333334
2008-10-01,2065.3105806451613
2008-11-01,2609.8831
2008-12-01,1821.6802258064515
2009-01-01,1638.175548387097
2009-02-01,1422.5435000000002
2009-03-01,1821.467129032258
2009-04-01,1757.3179
2009-05-01,1753.2455483870967
2009-06-01,1933.6963333333333
2009-07-01,1964.0463548387097
2009-08-01,1660.5015806451613
2009-09-01,1118.3246
2009-10-01,1242.8113548387096
2009-11-01,1524.3416666666667
2009-12-01,953.598741935484
2010-01-01,531.9025483870969
2010-02-01,556.6923571428572
2010-03-01,778.5531290322581
2010-04-01,1527.9917666666665
2010-05-01,1837.990419354839
2010-06-01,1980.9497000000001
2010-07-01,2188.378387096774
2010-08-01,1757.992483870968
2010-09-01,1801.1704333333332
2010-10-01,1712.6432258064515
2010-11-01,2827.9955
2010-12-01,2388.1683870967745
2011-01-01,1266.9142980030722
2011-02-01,1213.5605714285714
2011-03-01,1753.670548387097
2011-04-01,3061.683433333333
2011-05-01,2736.9528064516126
2011-06-01,2265.8721333333337
2011-07-01,2088.7333548387096
2011-08-01,1546.916516129032
2011-09-01,1607.1403333333333
2011-10-01,1932.830548387097
2011-11-01,2511.3066
2011-12-01,2928.7986129032256
2012-01-01,1798.5300645161287
2012-02-01,1171.9528965517238
2012-03-01,1443.515483870968
2012-04-01,2460.5596
2012-05-01,2284.874064516129
2012-06-01,1671.2307
2012-07-01,1782.52835483871
2012-08-01,1703.235193548387
2012-09-01,1241.9978
2012-10-01,1528.5186129032256
2012-11-01,1420.1212666666668
2012-12-01,1236.0312580645161
2013-01-01,676.5885483870968
2013-02-01,1086.8696071428571
2013-03-01,1428.0428709677421
2013-04-01,1252.7266333333332
2013-05-01,2116.575129032258
2013-06-01,1682.1890666666668
2013-07-01,1773.3190322580647
2013-08-01,1970.1819677419353
2013-09-01,1683.2705666666668
2013-10-01,1522.357
2013-11-01,1827.2430666666667
2013-12-01,1746.0773870967744
2014-01-01,1161.8111483870966
2014-02-01,1093.6711071428572
2014-03-01,1496.170677419355
2014-04-01,1320.3758999999998
2014-05-01,1907.3695161290323
2014-06-01,2184.5538
2014-07-01,1987.1051935483872
2014-08-01,1674.675548387097
2014-09-01,1515.8703333333333
2014-10-01,1677.7811612903222
2014-11-01,1774.155733333333
2014-12-01,1730.7474193548387
2015-01-01,969.7379677419356
2015-02-01,1347.2359642857145
2015-03-01,1358.9537419354838
2015-04-01,2160.7005666666664
2015-05-01,1807.0493870967741
2015-06-01,2792.5063
2015-07-01,2243.576129032258
2015-08-01,1992.9990967741935
2015-09-01,1385.5212
2015-10-01,1445.8007530589546
2015-11-01,1857.4735714285712
2015-12-01,1020.3919032258062
2016-01-01,664.3672903225806
2016-02-01,677.4757931034484
2016-03-01,905.4082903225806
2016-04-01,1709.715666666667
2016-05-01,2302.070612903225
2016-06-01,2284.365
2016-07-01,2521.2563870967742
2016-08-01,1790.378
2016-09-01,1872.18178
2016-10-01,2056.500258064516
2016-11-01,2541.3882000000003
2016-12-01,2301.839225806452
2017-01-01,1832.5689032258067
2017-02-01,1025.0955714285715
2017-03-01,2388.534516129032
2017-04-01,2379.8379333333332
2017-05-01,3518.2752903225805
2017-06-01,2942.7496999999994
2017-07-01,2631.544838709677
2017-08-01,1989.6791612903228
2017-09-01,1971.3186999999996
2017-10-01,1914.3193225806451
2017-11-01,2510.2773
2017-12-01,1724.362548387097
2018-01-01,1586.4978387096787
2018-02-01,1177.019857142856
2018-03-01,1202.1032580645158
2018-04-01,2570.234033333333
2018-05-01,3820.6307741935525
2018-06-01,3040.0446000000006
2018-07-01,2547.9697000000006
2018-08-01,2083.3509999999987
2018-09-01,1778.9037333333333
2018-10-01,2499.817225806452
2018-11-01,2623.7563433333335
2018-12-01,1347.3410419354827
2019-01-01,892.5152580645167
2019-02-01,1031.5502500000002
2019-03-01,1433.3744516129038
2019-04-01,2445.827600000001
2019-05-01,2841.5936129032266
2019-06-01,2970.455133333334
2019-07-01,2212.3381935483876
2019-08-01,1842.827064516128
2019-09-01,1451.5346666666674
2019-10-01,2124.0683870967746
2019-11-01,2228.1345666666675
2019-12-01,1667.9533225806451
2020-01-01,1037.3010645161291
2020-02-01,893.0868620689662
2020-03-01,1074.797064516129
2020-04-01,1397.1515000000004
2020-05-01,1790.5726129032262
2020-06-01,2163.0873333333334
2020-07-01,2610.4749310344823
2020-08-01,2153.7460967741927
2020-09-01,1921.3333666666672
2020-10-01,1908.2226774193543
2020-11-01,2686.0287666666654
2020-12-01,1932.7590000000002
2021-01-01,1480.5677741935478
2021-02-01,1250.2611071428564
2021-03-01,2347.8868709677413
2021-04-01,2347.1484333333337
2021-05-01,3297.747967741934
2021-06-01,3414.5190666666667
2021-07-01,2665.2290645161297
2021-08-01,2584.940225806452
2021-09-01,2340.6226666666657
2021-10-01,2590.2717096774204
2021-11-01,2670.894766666667
2021-12-01,1872.8762857142847
2022-01-01,1337.944433333333
2022-02-01,1587.7972592592598
2022-03-01,2552.5889677419364
2022-04-01,3088.583466666667
2022-05-01,3047.2349999999997
2022-06-01,3365.4965000000007
2022-07-01,3106.7237741935496
2022-08-01,2574.386258064515
2022-09-01,2570.3877000000007
2022-10-01,4771.493364809388
2022-11-01,5128.196203333336
2022-12-01,3182.274167741931
2023-01-01,3137.098754838709
2023-02-01,1926.3371607142853
2023-03-01,3788.3244032258085
2023-04-01,3546.6286166666673
2023-05-01,3214.529541935484
2023-06-01,3159.6192766666686
2023-07-01,2782.8150296187705
2023-08-01,2320.7786935483864
2023-09-01,1516.9987000000003
2023-10-01,2202.7541612903237
2023-11-01,3107.8672333333334
2023-12-01,1725.0416774193545
2024-01-01,1090.0496451612905
2024-02-01,1156.7816551724138
2024-03-01,943.4972903225803
2024-04-01,1983.6035333333332
2024-05-01,4057.1681290322545
2024-06-01,4482.064633333329
2024-07-01,3257.8712903225796
2024-08-01,2065.7835806451612
2024-09-01,1681.819566666667
2024-10-01,2162.8413548387102
2024-11-01,3285.768633333333
2024-12-01,2205.490967741937
