date,GeneracionTermica
2009-11-01,74946905.4994393
2009-12-01,80786636.98746611
2010-01-01,88616798.62483677
2010-02-01,75739142.79600061
2010-03-01,79821203.73023675
2010-04-01,79566757.19861555
2010-05-01,82209254.96038811
2010-06-01,53061181.619003035
2010-07-01,51646617.863570414
2010-08-01,53322888.96804093
2010-09-01,52092839.84320059
2010-10-01,57044457.93163076
2010-11-01,52299476.73503548
2010-12-01,60995035.98047804
2011-01-01,54862243.415839575
2011-02-01,49833352.05800145
2011-03-01,49159143.62589849
2011-04-01,43646849.81236077
2011-05-01,42671789.354518965
2011-06-01,46682660.476488926
2011-07-01,49407762.838635825
2011-08-01,49281801.23352655
2011-09-01,50327296.55907215
2011-10-01,53568663.63921226
2011-11-01,53156615.560900465
2011-12-01,56553343.65384709
2012-01-01,58325777.57315192
2012-02-01,45771127.62865114
2012-03-01,58221898.005475275
2012-04-01,50926348.05851529
2012-05-01,50032064.88752731
2012-06-01,54661545.68049291
2012-07-01,74559721.91400957
2012-08-01,66215969.800950624
2012-09-01,71117557.2966675
2012-10-01,68334980.23205808
2012-11-01,72319506.96289062
2012-12-01,69086555.43677768
2013-01-01,76416990.81038602
2013-02-01,66269316.95178766
2013-03-01,60074067.00840373
2013-04-01,71203710.68605104
2013-05-01,61114706.13575193
2013-06-01,63077691.88436568
2013-07-01,79016954.81725858
2013-08-01,69464814.24752933
2013-09-01,62637625.37575997
2013-10-01,67852843.16957402
2013-11-01,73808926.4224325
2013-12-01,78082475.75842872
2014-01-01,77839983.81285825
2014-02-01,71041561.98464976
2014-03-01,75022390.68160705
2014-04-01,76816146.3894036
2014-05-01,78122417.2343736
2014-06-01,81427521.68105918
2014-07-01,77572951.98220256
2014-08-01,70097419.20127867
2014-09-01,62577614.21418849
2014-10-01,76228574.61398691
2014-11-01,75132127.1111726
2014-12-01,75326235.94242896
2015-01-01,73546688.6345813
2015-02-01,61781321.88472623
2015-03-01,72462406.20182924
2015-04-01,61357087.739908904
2015-05-01,63924361.140211776
2015-06-01,52041190.953237735
2015-07-01,59194371.57842852
2015-08-01,62332725.49053279
2015-09-01,62567166.67288277
2015-10-01,65364040.059550926
2015-11-01,65346751.22674591
2015-12-01,70052679.23581135
2016-01-01,82097401.1305896
2016-02-01,69686080.69219337
2016-03-01,67633090.88932644
2016-04-01,53669667.87055221
2016-05-01,43861519.20167166
2016-06-01,44408432.473325714
2016-07-01,41254095.45543437
2016-08-01,43049393.814248346
2016-09-01,36262943.95609614
2016-10-01,40629661.78258337
2016-11-01,37968753.96766479
2016-12-01,36299310.06489683
2017-01-01,33426783.102193102
2017-02-01,36976471.12933435
2017-03-01,34552803.29866721
2017-04-01,31620808.79744609
2017-05-01,30185260.12772939
2017-06-01,28371833.76701199
2017-07-01,29517441.70795794
2017-08-01,33049449.96204791
2017-09-01,35920430.87063992
2017-10-01,36742099.96430939
2017-11-01,34356270.12607902
2017-12-01,33534122.109229855
2018-01-01,39287176.787920065
2018-02-01,45684014.98659314
2018-03-01,42695811.50077266
2018-04-01,29430218.737507626
2018-05-01,32144040.841260377
2018-06-01,30442294.888112437
2018-07-01,26610512.65842606
2018-08-01,29196460.00865876
2018-09-01,30843652.531091675
2018-10-01,28083299.220015425
2018-11-01,24388773.461121377
2018-12-01,30418814.574458227
2019-01-01,40476433.4426272
2019-02-01,35255203.36743357
2019-03-01,36854612.8066817
2019-04-01,29473282.15466425
2019-05-01,27877301.61485154
2019-06-01,22137199.7170811
2019-07-01,24991371.932063214
2019-08-01,28960580.22096805
2019-09-01,34284007.612328365
2019-10-01,39091707.5530882
2019-11-01,35791716.34692214
2019-12-01,41637371.55605342
2020-01-01,42720741.24954539
2020-02-01,44964943.50117155
2020-03-01,45489730.800635755
2020-04-01,37865863.035290584
2020-05-01,41984769.513268255
2020-06-01,40533043.75060363
2020-07-01,29203597.065468457
2020-08-01,34828351.42609109
2020-09-01,38692450.28219251
2020-10-01,42536360.11088387
2020-11-01,36551375.51160868
2020-12-01,37287574.6016429
2021-01-01,36626035.32673107
2021-02-01,39569493.51633208
2021-03-01,33494572.6426184
2021-04-01,31546867.947957333
2021-05-01,31197308.79515956
2021-06-01,29242222.95425528
2021-07-01,30686472.199244782
2021-08-01,29119538.964164745
2021-09-01,26494706.585016467
2021-10-01,26405650.354803108
2021-11-01,27915401.210680533
2021-12-01,33876318.01952231
2022-01-01,33886813.014313295
2022-02-01,34126436.80303455
2022-03-01,26493020.040585972
2022-04-01,27846352.5311797
2022-05-01,27054390.28229429
2022-06-01,27048582.118871506
2022-07-01,30259694.594586678
2022-08-01,24420937.945823647
2022-09-01,23514797.130944863
2022-10-01,19944115.491236392
2022-11-01,21697811.68742655
2022-12-01,26425199.277701244
2023-01-01,25054373.75122767
2023-02-01,30240631.361941047
2023-03-01,26123460.801443364
2023-04-01,22912075.626192737
2023-05-01,34395237.20443199
2023-06-01,29405011.150755886
2023-07-01,32761233.98614819
2023-08-01,33427012.708904088
2023-09-01,46944502.962654896
2023-10-01,49570508.57215868
2023-11-01,31525358.90163818
2023-12-01,47521397.957257435
2024-01-01,0.0
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,0.0
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,0.0
2024-09-01,0.0
2024-10-01,0.0
2024-11-01,0.0
2024-12-01,0.0
